加州,5959487,76983
德克萨斯,4946880,76364
佛罗里达,4486276,62622
纽约,3929750,60276
伊利诺伊,2382423,30794
宾夕法尼亚,2206899,37522
俄亥俄,2151829,30072
乔治亚,1928942,31521
密西根,1855658,29955
北卡,1816380,19619
新泽西,1782463,29374
田纳西,1462996,20941
亚利桑那,1430241,24586
印第安纳,1314688,19448
马萨诸塞,1250765,20510
弗吉尼亚,1220869,15651
威斯康星,1186066,11402
密苏里,1075994,16476
明尼苏达,1064065,10906
南卡,1048252,14746
科罗拉多,979437,10402
阿拉巴马,957848,16585
华盛顿州,913980,9974
路易斯安那,908428,15054
肯塔基,904916,12319
马里兰,800743,12107
俄克拉荷马,737593,12592
犹他,682036,3887
阿肯色,604843,9298
爱荷华,596296,8019
密西西比,586547,10527
堪萨斯,565288,7101
康涅狄格,563635,9281
内华达,509472,8509
俄勒冈,449267,5728
新墨西哥,364861,5969
内布拉斯加,355928,3416
西弗吉尼亚,351688,5421
波多黎各,340152,3357
爱达荷,325730,4223
罗德岛,266066,3121
新罕布什尔,211952,2017
蒙大拿,202863,2917
特拉华,195600,2286
南达科塔,189411,2522
北达科塔,180646,2073
阿拉斯加,161678,979
缅因,152173,1599
夏威夷,134442,1101
怀俄明,119093,1572
华盛顿特区,108112,1225
佛蒙特,73802,482
关岛,20594,274
维京群岛,11833,89
北马里亚纳群岛,3518,18
至尊公主号,103,3
钻石公主号,49,0
美属萨摩亚,10,0
